domain,agency,status,redirect,https,dot_gov
oehha.ca.gov,"Office of Environmental Health Hazard Assessment",200,"http://oehha.ca.gov/",false,true
bpelsg.ca.gov,"Board of Professional Engineers, Land Surveyors, and Geologists",200,"https://bpelsg.ca.gov/",true,true
boe.ca.gov,"Board of Equalization",200,"https://boe.ca.gov/",true,true
calepa.ca.gov,"Environmental Protection Agency",200,"https://calepa.ca.gov/",true,true
calexpostatefair.com,"California Exposition and State Fair",200,"https://calexpostatefair.com/",true,false
fppc.ca.gov,"Fair Political Practices Commission",200,"https://fppc.ca.gov/",true,true
fiscal.ca.gov,"Department of FI$Cal",200,"https://fiscal.ca.gov/",true,true
film.ca.gov,"California Film Commission",200,"https://film.ca.gov/",true,true
caloes.ca.gov,"Governor's Office of Emergency Services",200,"https://www.caloes.ca.gov/",true,true
dfpi.ca.gov,"Department of Financial Protection and Innovation",200,"https://dfpi.ca.gov/",true,true
cfcc.ca.gov,"California Financing Coordinating Committee",200,"https://cfcc.ca.gov/",true,true
ccfc.ca.gov,"First 5 California",200,"https://ccfc.ca.gov/",true,true
fgc.ca.gov,"Fish and Game Commission",200,"https://fgc.ca.gov/",true,true
wildlife.ca.gov,"Department of Fish and Wildlife",200,"https://wildlife.ca.gov/",true,true
cdfa.ca.gov,"Department of Food and Agriculture",200,"https://www.cdfa.ca.gov/",true,true
bof.fire.ca.gov,"Board of Forestry and Fire Protection",200,"https://bof.fire.ca.gov/",true,true
dof.ca.gov,"Department of Finance",200,"https://dof.ca.gov/",true,true
ccoa.ca.gov,"California Commission on Aging",500,"undefined",false,false
ftb.ca.gov,"Franchise Tax Board",200,"https://www.ftb.ca.gov/",true,true
cgcc.ca.gov,"California Gambling Control Commission",404,"http://cgcc.ca.gov/",false,true
fire.ca.gov,"California Department of Forestry and Fire Protection",200,"https://www.fire.ca.gov/",true,true
aging.ca.gov,"Department of Aging",500,"undefined",false,false
chhs.ca.gov,"Health and Human Services Agency",500,"undefined",false,false
tribalgovtaffairs.ca.gov,"Governor's Office of the Tribal Advisor",500,"undefined",false,false
gov.ca.gov,"Office of the Governor",200,"https://www.gov.ca.gov/",true,true
govops.ca.gov,"Government Operations Agency",200,"https://www.govops.ca.gov/",true,true
hbex.coveredca.com,"California Health Benefit Exchange",200,"https://hbex.coveredca.com/",true,false
hsr.ca.gov,"High-Speed Rail Authority",200,"https://hsr.ca.gov/",true,true
dhcs.ca.gov,"Department of Health Care Services",200,"https://www.dhcs.ca.gov/",true,true
hcai.ca.gov,"Department of Health Care Access and Information",200,"https://hcai.ca.gov/",true,true
chrb.ca.gov,"California Horse Racing Board",200,"https://chrb.ca.gov//",true,true
bhgs.dca.ca.gov,"Bureau of Household Goods and Services",200,"https://bhgs.dca.ca.gov/",true,true
calhfa.ca.gov,"Housing Finance Agency",200,"https://www.calhfa.ca.gov/",true,true
chp.ca.gov,"California Highway Patrol",200,"https://www.chp.ca.gov/",true,true
dir.ca.gov,"Department of Industrial Relations",200,"http://dir.ca.gov/",false,true
calsilc.ca.gov,"California State Independent Living Council",200,"https://calsilc.ca.gov/",true,true
insurance.ca.gov,"Department of Insurance",200,"https://www.insurance.ca.gov/",true,true
ibank.ca.gov,"Infrastructure and Economic Development Bank (I-Bank)",200,"https://ibank.ca.gov/",true,true
hcd.ca.gov,"Department of Housing and Community Development",200,"https://www.hcd.ca.gov/",true,true
oig.ca.gov,"Office of the Inspector General",200,"https://www.oig.ca.gov/",true,true
oag.ca.gov,"Department of Justice",200,"https://oag.ca.gov/",true,true
cjp.ca.gov,"Commission on Judicial Performance",200,"https://cjp.ca.gov/",true,true
clrc.ca.gov,"California Law Revision Commission",200,"http://clrc.ca.gov/",false,true
latc.ca.gov,"Landscape Architects Technical Committee ",200,"https://latc.ca.gov/",true,true
legislature.ca.gov,"California State Legislature",500,"undefined",false,false
lao.ca.gov,"Legislative Analyst's Office",200,"https://lao.ca.gov/",true,true
labor.ca.gov,"Labor and Workforce Development Agency",200,"https://www.labor.ca.gov/",true,true
library.ca.gov,"California State Library",403,"https://library.ca.gov/",true,true
lhc.ca.gov,"Little Hoover Commission",403,"https://lhc.ca.gov/",true,true
ltg.ca.gov,"Office of Lieutenant Governor",200,"https://ltg.ca.gov/",true,true
mbc.ca.gov,"Medical Board of California ",200,"https://mbc.ca.gov/",true,true
dmhc.ca.gov,"Department of Managed Health Care",200,"https://dmhc.ca.gov/",true,true
calottery.com,"California Lottery",200,"https://www.calottery.com/",true,false
dmv.ca.gov,"Department of Motor Vehicles",200,"https://www.dmv.ca.gov/",true,true
calguard.ca.gov,"California Military Department",200,"https://calguard.ca.gov/",true,true
slc.ca.gov,"California State Lands Commission",200,"https://slc.ca.gov/",true,true
resources.ca.gov,"California Natural Resources Agency",200,"https://resources.ca.gov/",true,true
nahc.ca.gov,"Native American Heritage Commission",200,"https://nahc.ca.gov/",true,true
naturopathic.ca.gov,"Naturopathic Medicine Committee ",200,"https://naturopathic.ca.gov/",true,true
nmvb.ca.gov,"New Motor Vehicle Board  ",200,"https://nmvb.ca.gov/",true,true
mhsoac.ca.gov,"Mental Health Services Oversight and Accountability Commission",200,"https://mhsoac.ca.gov/",true,true
bot.ca.gov,"California Board of Occupational Therapy",200,"https://bot.ca.gov/",true,true
parks.ca.gov,"Department of Parks and Recreation",500,"undefined",false,false
ombc.ca.gov,"Osteopathic Medical Board of California ",200,"https://ombc.ca.gov/",true,true
opc.ca.gov,"Ocean Protection Council",200,"https://opc.ca.gov/",true,true
spb.ca.gov,"State Personnel Board",200,"https://spb.ca.gov/",true,true
post.ca.gov,"Commission on Peace Officer Standards and Training",200,"https://post.ca.gov/",true,true
cdpr.ca.gov,"Department of Pesticide Regulation",200,"https://www.cdpr.ca.gov/",true,true
pharmacy.ca.gov,"California State Board of Pharmacy",200,"https://pharmacy.ca.gov/",true,true
ptbc.ca.gov,"Physical Therapy Board of California",200,"https://ptbc.ca.gov/",true,true
opr.ca.gov,"Governor's Office of Planning and Research",200,"http://opr.ca.gov/",false,true
pab.ca.gov,"Physician Assistant Board ",200,"https://pab.ca.gov/",true,true
bopc.ca.gov,"Board of Pilot Commissioners for the Bays of San Francisco, San Pablo, and Suisun",200,"https://bopc.ca.gov/",true,true
calpia.ca.gov,"Prison Industry Authority",404,"http://calpia.ca.gov/",false,true
pmbc.ca.gov,"Podiatric Medical Board of California",200,"https://pmbc.ca.gov/",true,true
bppe.ca.gov,"Bureau for Private and Postsecondary Education",200,"https://bppe.ca.gov/",true,true
psychology.ca.gov,"Board of Psychology",200,"https://psychology.ca.gov/",true,true
fiduciary.ca.gov,"Professional Fiduciaries Bureau",200,"https://fiduciary.ca.gov/",true,true
calpers.ca.gov,"California Public Employees Retirement System",200,"https://www.calpers.ca.gov/",true,true
cdph.ca.gov,"California Department of Public Health",200,"https://www.cdph.ca.gov/",true,true
dre.ca.gov,"Department of Real Estate",200,"http://dre.ca.gov/",false,true
perb.ca.gov,"California Public Employment Relations Board",200,"https://perb.ca.gov/",true,true
cirm.ca.gov,"California Institute for Regenerative Medicine",200,"https://www.cirm.ca.gov/",true,true
rn.ca.gov,"California Board of Registered Nursing",200,"https://rn.ca.gov/",true,true
dor.ca.gov,"Department of Rehabilitation",200,"https://dor.ca.gov/",true,true
rcb.ca.gov,"Respiratory Care Board of California ",200,"https://rcb.ca.gov/",true,true
calrecycle.ca.gov,"Department of Resources Recycling and Recovery",200,"https://calrecycle.ca.gov/",true,true
sdrc.ca.gov,"San Diego River Conservancy",200,"https://sdrc.ca.gov/",true,true
deltaconservancy.ca.gov,"Sacramento-San Joaquin Delta Conservancy",200,"https://deltaconservancy.ca.gov/",true,true
bcdc.ca.gov,"San Francisco Bay Conservation and Development Commission",200,"https://bcdc.ca.gov/",true,true
rmc.ca.gov,"San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy",200,"https://rmc.ca.gov/",true,true
sjrc.ca.gov,"San Joaquin River Conservancy",200,"https://sjrc.ca.gov/",true,true
saveourwater.com,"Save Our Water",200,"https://saveourwater.com/",true,false
smmc.ca.gov,"Santa Monica Mountains Conservancy",200,"https://smmc.ca.gov/",true,true
sos.ca.gov,"Secretary of State",200,"https://www.sos.ca.gov/",true,true
bsis.ca.gov,"Bureau of Security and Investigative Services",200,"https://bsis.ca.gov/",true,true
dgs.ca.gov,"Department of General Services",500,"undefined",false,false
senate.ca.gov,"California State Senate",200,"https://www.senate.ca.gov/",true,true
sierranevada.ca.gov,"Sierra Nevada Conservancy",200,"https://sierranevada.ca.gov/",true,true
ssc.ca.gov,"Seismic Safety Commission",200,"https://ssc.ca.gov/",true,true
speechandhearing.ca.gov,"Speech-Language Pathology and Audiology and Hearing Aid Dispensers Board ",200,"https://speechandhearing.ca.gov/",true,true
cdss.ca.gov,"Department of Social Services",200,"https://cdss.ca.gov/",true,true
dsh.ca.gov,"Department of State Hospitals",200,"https://dsh.ca.gov/",true,true
osfm.fire.ca.gov,"Office of the State Fire Marshal",200,"https://osfm.fire.ca.gov/",true,true
csm.ca.gov,"Commission on State Mandates",200,"https://csm.ca.gov/",true,true
calstrs.com,"California State Teachers Retirement System",200,"https://www.calstrs.com/",true,false
waterboards.ca.gov,"State Water Resources Control Board",200,"https://www.waterboards.ca.gov/",true,true
pestboard.ca.gov,"Structural Pest Control Board ",200,"https://pestboard.ca.gov/",true,true
csac.ca.gov,"California Student Aid Commission",200,"https://www.csac.ca.gov/",true,true
women.ca.gov,"Commission on Status of Women and Girls",200,"https://women.ca.gov/",true,true
osi.ca.gov,"Office of Systems Integration",200,"https://osi.ca.gov/",true,true
tahoe.ca.gov,"California Tahoe Conservancy",200,"https://tahoe.ca.gov/",true,true
cdtfa.ca.gov,"California Department of Tax and Fee Administration",200,"https://cdtfa.ca.gov/",true,true
dtsc.ca.gov,"Department of Toxic Substances Control",200,"http://dtsc.ca.gov/",false,true
cdt.ca.gov,"California Department of Technology",200,"https://cdt.ca.gov/",true,true
ots.ca.gov,"Office of Traffic Safety",200,"https://www.ots.ca.gov/",true,true
calsta.ca.gov,"California State Transportation Agency",200,"https://calsta.ca.gov/",true,true
catc.ca.gov,"Transportation Commission",200,"https://catc.ca.gov/",true,true
dot.ca.gov,"Department of Transportation",200,"https://dot.ca.gov/",true,true
treasurer.ca.gov,"State Treasurer's Office",200,"https://www.treasurer.ca.gov/",true,true
cuiab.ca.gov,"Unemployment Insurance Appeals Board",200,"https://cuiab.ca.gov/",true,true
calstate.edu,"California State University",200,"https://www.calstate.edu/",true,true
universityofcalifornia.edu,"University of California",200,"https://www.universityofcalifornia.edu/",true,true
opa.ca.gov,"Office of the Patient Advocate",500,"undefined",false,false
calvet.ca.gov,"Department of Veterans Affairs",500,"undefined",false,false
victims.ca.gov,"California Victim Compensation Board",200,"https://victims.ca.gov/",true,true
vmb.ca.gov,"Veterinary Medical Board ",200,"https://vmb.ca.gov/",true,true
bvnpt.ca.gov,"Board of Vocational Nursing and Psychiatric Technicians",200,"https://bvnpt.ca.gov/",true,true
californiavolunteers.ca.gov,"California Volunteers",200,"https://www.californiavolunteers.ca.gov/",true,true
visitcalifornia.com,"Visit California",200,"https://www.visitcalifornia.com/",true,false
wcb.ca.gov,"Wildlife Conservation Board",200,"https://wcb.ca.gov/",true,true
water.ca.gov,"Department of Water Resources",200,"https://water.ca.gov/",true,true
cwc.ca.gov,"California Water Commission",200,"https://cwc.ca.gov/",true,true
cwdb.ca.gov,"California Workforce Development Board",200,"https://cwdb.ca.gov/",true,true
cpuc.ca.gov,"California Public Utilities Commission",500,"undefined",false,false
ctc.ca.gov,"Commission on Teacher Credentialing",500,"undefined",false,false
