domain,agency
nmvb.ca.gov,"New Motor Vehicle Board  "
bot.ca.gov,"California Board of Occupational Therapy"
opc.ca.gov,"Ocean Protection Council"
ombc.ca.gov,"Osteopathic Medical Board of California "
parks.ca.gov,"Department of Parks and Recreation"
opa.ca.gov,"Office of the Patient Advocate"
post.ca.gov,"Commission on Peace Officer Standards and Training"
spb.ca.gov,"State Personnel Board"
cdpr.ca.gov,"Department of Pesticide Regulation"
pharmacy.ca.gov,"California State Board of Pharmacy"
ptbc.ca.gov,"Physical Therapy Board of California"
pab.ca.gov,"Physician Assistant Board "
bopc.ca.gov,"Board of Pilot Commissioners for the Bays of San Francisco, San Pablo, and Suisun"
opr.ca.gov,"Governor's Office of Planning and Research"
pmbc.ca.gov,"Podiatric Medical Board of California"
calpia.ca.gov,"Prison Industry Authority"
bppe.ca.gov,"Bureau for Private and Postsecondary Education"
fiduciary.ca.gov,"Professional Fiduciaries Bureau"
psychology.ca.gov,"Board of Psychology"
calpers.ca.gov,"California Public Employees Retirement System"
perb.ca.gov,"California Public Employment Relations Board"
cdph.ca.gov,"California Department of Public Health"
cpuc.ca.gov,"California Public Utilities Commission"
dre.ca.gov,"Department of Real Estate"
cirm.ca.gov,"California Institute for Regenerative Medicine"
rn.ca.gov,"California Board of Registered Nursing"
dor.ca.gov,"Department of Rehabilitation"
calrecycle.ca.gov,"Department of Resources Recycling and Recovery"
rcb.ca.gov,"Respiratory Care Board of California "
deltaconservancy.ca.gov,"Sacramento-San Joaquin Delta Conservancy"
sdrc.ca.gov,"San Diego River Conservancy"
bcdc.ca.gov,"San Francisco Bay Conservation and Development Commission"
rmc.ca.gov,"San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy"
sjrc.ca.gov,"San Joaquin River Conservancy"
smmc.ca.gov,"Santa Monica Mountains Conservancy"
saveourwater.com,"Save Our Water"
sos.ca.gov,"Secretary of State"
bsis.ca.gov,"Bureau of Security and Investigative Services"
ssc.ca.gov,"Seismic Safety Commission"
senate.ca.gov,"California State Senate"
sierranevada.ca.gov,"Sierra Nevada Conservancy"
cdss.ca.gov,"Department of Social Services"
speechandhearing.ca.gov,"Speech-Language Pathology and Audiology and Hearing Aid Dispensers Board "
osfm.fire.ca.gov,"Office of the State Fire Marshal"
dsh.ca.gov,"Department of State Hospitals"
csm.ca.gov,"Commission on State Mandates"
calstrs.com,"California State Teachers Retirement System"
waterboards.ca.gov,"State Water Resources Control Board"
women.ca.gov,"Commission on Status of Women and Girls"
pestboard.ca.gov,"Structural Pest Control Board "
csac.ca.gov,"California Student Aid Commission"
osi.ca.gov,"Office of Systems Integration"
tahoe.ca.gov,"California Tahoe Conservancy"
cdtfa.ca.gov,"California Department of Tax and Fee Administration"
ctc.ca.gov,"Commission on Teacher Credentialing"
cdt.ca.gov,"California Department of Technology"
dtsc.ca.gov,"Department of Toxic Substances Control"
ots.ca.gov,"Office of Traffic Safety"
calsta.ca.gov,"California State Transportation Agency"
catc.ca.gov,"Transportation Commission"
dot.ca.gov,"Department of Transportation"
treasurer.ca.gov,"State Treasurer's Office"
cuiab.ca.gov,"Unemployment Insurance Appeals Board"
universityofcalifornia.edu,"University of California"
calstate.edu,"California State University"
calvet.ca.gov,"Department of Veterans Affairs"
vmb.ca.gov,"Veterinary Medical Board "
victims.ca.gov,"California Victim Compensation Board"
visitcalifornia.com,"Visit California"
bvnpt.ca.gov,"Board of Vocational Nursing and Psychiatric Technicians"
californiavolunteers.ca.gov,"California Volunteers"
cwc.ca.gov,"California Water Commission"
water.ca.gov,"Department of Water Resources"
wcb.ca.gov,"Wildlife Conservation Board"
cwdb.ca.gov,"California Workforce Development Board"
